dataset,split,class_label,relpath,sha256,width,height,mode,n_bytes,is_corrupt,source_url,acquired_at_utc
PlantDoc,test,Apple leaf,test/Apple leaf/20180511_090912-14gtw8a-e1526047952754.jpg,93eaedfb1c29ec24e347500fa9e1e5556ba94af539254caac79c8b471d11b8df,2988,5312,RGB,1872287,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple leaf,test/Apple leaf/20180511_091133-24l1vhg-e1526047988236.jpg,646de55f7314f6994e453a8b5306fdf63e7b8f66a28b29fa9274be3b4d763883,2988,5312,RGB,1722834,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple leaf,test/Apple leaf/20180511_091252-1gy5xf5-e1526048000596.jpg,aa297cdf285ef4fd70ef7561b0f80f212d169a075ab01e6ea15a39b49788d4bb,2988,5312,RGB,1813672,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple leaf,test/Apple leaf/4120978-single-green-leaf-of-apple-tree.jpg,86ae7cf7e63818282f1e6c217a50ddd0bc2399c677d29268c5603bc0869f8192,800,594,RGB,74215,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple leaf,test/Apple leaf/Apple-Leaf-Wallpaper-17.jpg,632220da09aa65fcd78c805f778511125c99639b3894170f4d9c8a94f7f32ddb,3840,2160,RGB,2008264,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple leaf,test/Apple leaf/apple-leaf-14319997.jpg,ee31497d152703df4f9581a32796cc272181cc0b2bd7be22d5e10ee0f40cac9d,1300,1174,RGB,173644,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple leaf,test/Apple leaf/apple-leaf-9834637.jpg,56a414ce3976cfbd137ebabac52ca2faba093d9a865368d129eae5bae0ac14e8,1300,957,RGB,111435,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple leaf,test/Apple leaf/apple-leaf-closeup-37636177.jpg,8d345ef55e8b6b13407264385e8076101c8f3711b908c6c2f8eb32a16ae78864,1300,957,RGB,172274,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple leaf,test/Apple leaf/apple-leaf-isolated-white-background-56631026.jpg,4742bf7d38d0b0d9042cb3430d6f703d9877fc1bc5703977da24d48fb001df82,800,692,RGB,101601,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/02.-Rust-2017-207u24s.jpg,f1b4f0ef38724290a0f896de850871f302aa12eac89625705233f77b0bd52797,5312,2988,RGB,4916332,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/0605_Rust-induced_leafspot.jpg,9773123c2caf06b5b574c406894ed37fff53638d2b826343603504b1d69595b1,341,188,RGB,87480,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/185161-004-EAF28842.jpg,93337329613ae06077f080ee91254267039c1fb27e04eb090e6c81f99a90fda2,424,450,RGB,44053,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/2011-011.jpg,0902a4df3831c69d0580f0b746a8ea277d317e358dcd05d5304c13ac539996e7,500,375,RGB,12608,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/20130519cedarapplerust.jpg,20adb414a8162e2dfd875b16ab9ba78b80713e62242d2a57497d1cbf22f621c1,575,431,RGB,253998,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/20130610_110514.jpg,326ddb5fd0ec65489a154a583d968dc63177c9e244f82f12a55f42c2eada807f,3264,2448,RGB,1575194,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/20130802_111632.jpg,b383d0ba58fbd71926956fe38016ef2cb1de8dd1cf09534c289b6d00b9a1e6bb,3264,2448,RGB,1938294,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/4-apple-rust2_19011_matt-bertone.jpg,ea6f3c7dfbba1e7089ccb48ca2421249c9b8c96405668369963c723f8a136011,600,400,RGB,28477,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/9343310-small.jpg,b1572c5a942ed6485bcf2d41c2b8aaa6d6a42041fc19b0f5e9f212ff8f10210c,155,206,RGB,9997,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/99e886623c2080c22f6519b0e708c531.jpg,33d5438707e6c733eef23f55d2ca20c455a847cbdaa6055e986c7601b0cd8d23,425,284,RGB,18208,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/10148582-green-leaf-of-pepper.jpg,18d27a2f69525db1028494ad8d3a54871f431133017ebcc2fa432da18bb50205,800,582,RGB,73702,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/4825902504_5fa80b65b8_z.jpg,31bf779ab58fdb35b249d94105c47a57f372302b7158f9c26bbfb2d3c1e580de,640,434,RGB,126854,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/GREEN%20BELL%20PLANT%20YELLOW%20LEAF.JPG.jpg,7d0741e7826cfcb6ee50a0c78215ab42a66128b2db342e0d6d104bfcff2c370f,800,600,RGB,108849,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/IMG_1629.JPG?1507122477.jpg,7ae7d000d7730a008e6bf53dfc78c207859c4569c2bad0eee22675129058256b,600,800,RGB,135678,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/RnGnC.jpg,13b8b10d2b5ac884239a21da79d04911ea3128094aed4ee22a52b7a85c05e893,2147,1432,RGB,414381,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/e33155.jpg,dd6526f15640c67223a9d40b4cd34e9522732deea2b09df09dc9c2eb08099047,800,600,RGB,111556,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/pepper_leaf.jpg,a651cf2765e927ffc2c865cdd0a68876f4df8e6ba5f3a2483dcb13754a02c4b9,300,400,RGB,39141,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/why-are-my-pepper-plants-yellow-yellow-pepper-plants-yellow-leaves-green-veins-pepper-plants-yellow-veins.jpg,bfc4393571e4be68819bd2f8835dfdb82015a9a160ce6fb186b0197da4de32ce,421,750,RGB,50581,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/00.jpg,092fd6fa8208f5c46f10899a8c58543949ad3ee3c7621a4e760d685bfd9f610a,480,360,RGB,57046,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/000.jpg,428e8aa1e9ea0e344c1fc50c26734079f7d4eb0d76c5709a9b4a3cf6d1f559cb,1024,768,RGB,192682,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/01.jpg,993f8bea1f19f3bc3334636badfe6e05d1206d7e338d2138cff7392fba6ff9d9,638,479,RGB,65060,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/Bacterial-spot-pepper2.jpg,f17a668a59155565f613ffc6352a4de92be0153e90ed86d48a4443c2492c5128,221,166,RGB,6508,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/CMVpepperLeafShock-copy-50QUALITY-1ge8umw.jpg,cda914f54adfddcc5bce2771d0aa908e9497602645a27281c30dacaca836905e,667,500,RGB,41429,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/H5w92.jpg,ea4730d34e5117cea5a252f952381393ccb22938680b33ae952a39f2a4771c68,2448,3264,RGB,550998,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/bacterial_leaf_spot_pepper_l.jpg,f92092c55bfd2a95571995f5b38bd8e784da25440b5e146b98644494f3425728,400,300,RGB,21544,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/pepper-spot.jpg,a5a5f34a7c50efbbbc3f680af9f277b7a016b4e145f60b6a0eafb7de39b3bb5f,351,209,RGB,97492,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/pepper_bacterial-spot_03_zoom.jpg,aec0b49214e20a168593766a67f93a22b310be6b36a6c518a9916e5055bece8e,900,599,RGB,136692,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/P1200665+Vaccinium+alaskaense+vs+ovalifolium+leaf+and++twig+cr.jpg,f16930fbfab4042fbabc2966fb8a7f9cfe00c1029b7f768e3afdf322c98f09e2,1600,1148,RGB,185310,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/P1200701+Vaccinium+ovalifolium+Oval-leaf+Blueberry+leaf+margin+Heather+Meadows+cr.jpg,59c1b790426d06c2b119456b682f898453c9dcc3aac7d77627455d6b4c6c0cf2,1012,1376,RGB,797763,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/blueberrysilverleaf16-1372b.jpg,09a3f4807d7d79b399e19da63d212e271fb0ecb4be8a90d0629b62c483403d0a,1846,1392,RGB,2033764,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/leaf-blueberry-15281271.jpg,c80d8c6ad4eab11f18540936ed92cc607269612ed4915780268f6bd584de3a2d,1300,1060,RGB,109549,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/northern-highbush-blueberry-blue-huckleberry-vaccinium-corymbosum-EHNXRR.jpg,9825a869d66d0aa4fa812dac3233a95372c0c37d963b894eb7a7baa83cb9bf0c,865,1390,RGB,135581,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/stock-photo-blueberry-leaf-closeup-isolated-on-white-306486470.jpg,5e31b852c76e429e3fe2981d6b383b655618a8c9d04b8c29451de26a6780e9a8,450,320,RGB,23566,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/stock-photo-green-blueberry-leaf-isolated-with-clipping-path-550344304.jpg,9f252ca961c41ade2ecc1baab912a309d173397db1acd6b8701c4268f6fb370c,335,470,RGB,51529,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/stock-photo-two-sides-of-blueberry-leaf-isolated-on-white-15582232.jpg,5012fc4eac7e81d6030083fad12253182bc00365c46a4ea72d682ed31b7bc35c,1500,1345,RGB,468338,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/vaccinium-angustifolium-low-bush-blueberry_0830_124221.jpg,a230f0f7f35b6f2c1473259c429f68537a9332545bac2a59c5940620cae3ff4c,720,540,RGB,67019,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/vaccinium_angustifolium_leaf2.JPG.jpg,ce7c810c3188f547ec5f77ff917fff685adb9d61fa46e3d4e31124cccc555cb8,1440,2160,RGB,503597,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Cherry leaf,test/Cherry leaf/d7b79dbc0bca0eb3e63fbe5dfb256ccd53d90a4eb1413_1260x1260.jpg,c8558de1281f269c91d394fbaf4fd06fb2c0a04dd3125cad4d5fcec2be3a5891,1056,1260,RGB,113168,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Cherry leaf,test/Cherry leaf/e52bbb9a08ede2948ba0c006f02fe7b053ad7831d1df6_1260x1260.jpg,58b9ab22b87542a82c76f4ccdc24c7a2a7979a26b59d2a1ed051edfd036760b6,1056,1260,RGB,161062,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Cherry leaf,test/Cherry leaf/ed12ff77ce021883de241830dee55e2e53d2c93231699_1260x1260.jpg,0a26a3e226bdd6d34416e19bbc4e168a034f201ce5effa5fb46e6896ad877334,1056,1260,RGB,164525,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Cherry leaf,test/Cherry leaf/fc729af279e9087d00bd32d89a1552a756a3ad9de7f2b_1260x1260.jpg,acda7a4b63745a43b2da5195eb7d16f36f5933f6b23bd7ebe60cb285176d1bf7,1056,1260,RGB,165014,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Cherry leaf,test/Cherry leaf/five-cherry-tree-green-leaves-white-isolated-background-34493587.jpg,5a5df8b7b4a21e5edae671379674afa0e3b958466893f7d9cabacb085670f336,1032,1300,RGB,159208,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Cherry leaf,test/Cherry leaf/prunsero_leaf1.jpg,edcfea2e7632ee23e48a545f941b4ff6b2bcc26995f953501e3d5079ba1ee768,2000,3008,RGB,853214,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Cherry leaf,test/Cherry leaf/prunsero_leaf2.jpg,b24b1b75df677567d96f6fa00ff0530afe4512cd647efa860ac7e625da706d5a,2000,3008,RGB,1082391,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Cherry leaf,test/Cherry leaf/prunus-virginiana-le-gmittelhauser.jpg,2fd622275560e03ed0880b393d9f888c9776184ce842e530fc51aea2b1525a0c,751,1000,RGB,249020,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Cherry leaf,test/Cherry leaf/red-cherry-tree-leaf-isolated-crisp-white-background-35742030.jpg,281c7ac4550ab84d66c8bb2caedddf25bfe6ece1e743cf02027dcaaaa006b3d5,1300,1065,RGB,83223,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Cherry leaf,test/Cherry leaf/three-vibrant-leaves-bird-cherry-tree-13905898.jpg,f0dacd9900802e97ca97d7931308959993c3a09d3cecbaa8de051af5a1dfb3d1,1300,972,RGB,71748,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn Gray leaf spot,test/Corn Gray leaf spot/rsz0803Figure6.jpg,723b0d272e745f3d81f205fc60dcfc989cb7698e3d48087aa63f904001ff9101,350,230,RGB,34226,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn Gray leaf spot,"test/Corn Gray leaf spot/show_picture.asp?id=aaaaaaaaaaogcqq&w2=420&h2=378&clip=center,420,378&meta=0.jpg",09be2f9958acdcd1cc32b43cb3f9b6196815f6ee9103077861a10f78f2a5978c,420,378,RGB,35562,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn Gray leaf spot,test/Corn Gray leaf spot/strom5.jpg,d335de0aeb36d5127592a6c5b33cc02e5e9e9bff688500e71cd338736329cf1c,480,320,RGB,107831,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/02c.jpg,0a7d472d5da53b9436775feb479598e0c8067eae96dfd06c7ebdaecee79af473,960,540,RGB,67199,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/0796.20graylssymt.jpg,3b616d93a4aa72ad932f05dd2ff1a0392139ce355a1b9d24f0e78cf71405a62c,432,350,RGB,30479,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/07c.jpg,4713b10521040b12bd472f7d83aca182cb240f99d6a214ec2c904cca3316e30a,675,414,RGB,83607,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/0c.jpg,9b17c3e4a9dacb6144f7c6ae7e69366b5966f8bdc49bd5ac175450a9c2f60dcf,1170,501,RGB,179797,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/1321189.jpg,0269c07a3081df41e9e8e5a7ee3c18394bb81fd8b0c6bff78b610d993b72a14d,590,200,RGB,106355,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/160314_web.jpg,23fb26f404234f8f4a24641c038cac24dade2a9fa70c5da27c6aa2328a8270cd,400,533,RGB,32963,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/2013Corn_GrayLeafSpot_0815_0003.JPG.jpg,366cac0649df317e9cdfbc64ec11c8b3da8e15aa7db164a9bf84db5c6236dfa3,1600,1200,RGB,389397,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/Common%20Diseases%20Figure%201.JPG.jpg,248c90ff324974883bc2a6547f5946f1fb26349186618d6f961e5cd1979e4abf,188,317,RGB,14451,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/Corn-SCLB-2017-1.jpg,deef0c607d0a5decdae484b0d1d92633ba4fe0ab15595d33e36222f62313f58e,3456,5184,RGB,2256589,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/corn-disease-update-fig-3-gray-leaf-spot.jpg,440c5caae1739af7a4e8530fd16cf3a5d450a376ce315fbe0ccab2e326139606,1500,1125,RGB,631528,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn rust leaf,test/Corn rust leaf/0796.39maizerust.jpg,74f5150ebe2ad2efc2288e5d8764852c8616ae96b9cd0486b72e48c08fb3dc55,432,287,RGB,33414,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn rust leaf,test/Corn rust leaf/0796.40comrust.jpg,d81099827be9eea9fd64d18771a60680255ea1fa9a2d2dd9247d55c97df59556,432,268,RGB,33671,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn rust leaf,test/Corn rust leaf/0796.47southrust.jpg,9d3bbdb56a902458d4bb09c2b16a117173048eb2f9dac5a25adaf5b87a32782e,432,252,RGB,38824,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn rust leaf,test/Corn rust leaf/0796.52srusttelia.jpg,d551e7c75cb72e01ddb13abdc7cc996e7727c54bb21556a552b82bebcd81f825,432,309,RGB,37960,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn rust leaf,test/Corn rust leaf/12-19striprustJIM.jpg,3072867b4b451739759fa7b4e26de9018e72e9f85ea5069b8bd2179dc20a4694,185,500,RGB,19641,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn rust leaf,test/Corn rust leaf/1355.50commonrust.jpg,376de5dfd4c5f0385e483a9a9e8b64d58c271787b9c0f72da2713cfb08ab702d,288,419,RGB,23587,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn rust leaf,test/Corn rust leaf/2256-body-1501555581-1.jpg,851941010e7f34ff324b3891139d55c9615272153e26a570732b81cd5f8b4930,3264,2448,RGB,468393,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn rust leaf,test/Corn rust leaf/393.jpg,35371942d3914e29adc6ce0247d6e9aff2c04820d58f2168ea42c515a33e32a6,590,393,RGB,35155,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn rust leaf,test/Corn rust leaf/5496239405_d95bdb97d1_z.jpg,1236a199431c6c7b4798310cfb847faa4c4b9047b62149de91674989b1ed76b9,640,480,RGB,177428,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Corn rust leaf,test/Corn rust leaf/80104747.jpg,10e15f1c88ceda5b126d25f64ca4ec09229e2359b58ed8b0d39381df3dffd883,613,700,RGB,278872,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Peach leaf,test/Peach leaf/00pe.jpg,efe7103184ba7b526b7958d11ece9922d3a7110b20603860b3225e1dbeb4db82,720,1000,RGB,93367,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Peach leaf,test/Peach leaf/7190f27ead55c0f6e3ff8b982972810a5446a9713a49d_1260x1260.jpg,2b42bfdb7b7422f0229cf8049232f8f38acf1e3df5070ef79b343ed1515c5ed1,1056,1260,RGB,117335,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Peach leaf,test/Peach leaf/depositphotos_3786198-Peach-leaf.jpg,512ff2f4d94b3d8047719b056442ff695406ddc3d09509949812c599cf988101,1024,1024,RGB,64784,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
