group_id,display_group_id,member_id,dataset,original_archive_path,active_relative_path,split,class_label,byte_sha256,decoded_rgb_sha256,byte_size,width,height,mode,source_revision
pdup-7ec26dad51adee34,G06,G06-m1,PlantDoc,test/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,test/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,test,Tomato Septoria leaf spot,93c989d8551209bf34d4002ee9fae48ddbf6ab66fc3c27466c0473bcc7c0a2b7,0c4bd829bc90e5bc0d69128ebf78553584f7ed296867e284faad28ad365020c2,1178259,1500,1125,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-7ec26dad51adee34,G06,G06-m2,PlantDoc,train/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,train/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,train,Tomato Septoria leaf spot,93c989d8551209bf34d4002ee9fae48ddbf6ab66fc3c27466c0473bcc7c0a2b7,0c4bd829bc90e5bc0d69128ebf78553584f7ed296867e284faad28ad365020c2,1178259,1500,1125,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-00d12bcd997986d0,G07,G07-m1,PlantDoc,test/Potato leaf late blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,test/Potato leaf late blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,test,Potato leaf late blight,9dd93b4217495fbb725cfdded86d3dc5f98955c9616fff5323be1a00df17be8b,6698fb65e7508618830d0e4518364e198e72e109fa12135d10472af6e9854be1,56066,640,437,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-00d12bcd997986d0,G07,G07-m2,PlantDoc,train/Potato leaf early blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,train/Potato leaf early blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,train,Potato leaf early blight,9dd93b4217495fbb725cfdded86d3dc5f98955c9616fff5323be1a00df17be8b,6698fb65e7508618830d0e4518364e198e72e109fa12135d10472af6e9854be1,56066,640,437,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-884a18bbd9375029,G08,G08-m1,PlantDoc,test/Potato leaf late blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,test/Potato leaf late blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,test,Potato leaf late blight,a981ee59e5e1dcafd0d225f74369a05969200352c17743318c31987083ab6f4c,2b49ec06043cd087d410e5d32235b75895135385c6c4e6a02210d291f08d6e63,98347,333,500,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-884a18bbd9375029,G08,G08-m2,PlantDoc,train/Potato leaf early blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,train/Potato leaf early blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,train,Potato leaf early blight,a981ee59e5e1dcafd0d225f74369a05969200352c17743318c31987083ab6f4c,2b49ec06043cd087d410e5d32235b75895135385c6c4e6a02210d291f08d6e63,98347,333,500,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-1de023f9a042587b,G09,G09-m1,PlantDoc,test/Potato leaf late blight/1421_0.jpeg?itok=FMtmgePj.jpg,test/Potato leaf late blight/1421_0.jpeg?itok=FMtmgePj.jpg,test,Potato leaf late blight,c53ad8d40c38debfbc0b79a87d0f3649c20b933a65f5b78a6931f59d06aad498,ce2ea9ee7939fd30c74c2c71719255696ec9ff80523d0c90313594d84dd2b1cf,59758,640,480,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-1de023f9a042587b,G09,G09-m2,PlantDoc,train/Potato leaf early blight/1421_0.jpeg?itok=FMtmgePj.jpg,train/Potato leaf early blight/1421_0.jpeg?itok=FMtmgePj.jpg,train,Potato leaf early blight,c53ad8d40c38debfbc0b79a87d0f3649c20b933a65f5b78a6931f59d06aad498,ce2ea9ee7939fd30c74c2c71719255696ec9ff80523d0c90313594d84dd2b1cf,59758,640,480,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-e05ca426fe0bf730,G10,G10-m1,PlantDoc,test/Tomato leaf bacterial spot/tomato_V8.jpg,test/Tomato leaf bacterial spot/tomato_V8.jpg,test,Tomato leaf bacterial spot,e23a29c94b58aac28e92f57f95eb6f53e99c874323cb2b90ebd327085721574e,2c6e36b745ce86fb2bb03b2ab1ecf7ba02df95238c285d006ccb8a24f97bb683,14032,350,260,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-e05ca426fe0bf730,G10,G10-m2,PlantDoc,train/Tomato Septoria leaf spot/tomato_V8.jpg,train/Tomato Septoria leaf spot/tomato_V8.jpg,train,Tomato Septoria leaf spot,e23a29c94b58aac28e92f57f95eb6f53e99c874323cb2b90ebd327085721574e,2c6e36b745ce86fb2bb03b2ab1ecf7ba02df95238c285d006ccb8a24f97bb683,14032,350,260,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-37644c61e7e47362,G11,G11-m1,PlantDoc,train/Potato leaf early blight/18028_1.jpg,train/Potato leaf early blight/18028_1.jpg,train,Potato leaf early blight,e5f14a70fc7a687a5846749d5499872c7c3320e81aea1358e481f7100b7ba242,455f28f2b68fc6b43f18c783c662ffca5860ed6109a9ab06d5caf1511ef5e433,216600,832,624,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-37644c61e7e47362,G11,G11-m2,PlantDoc,train/Potato leaf late blight/24064_1.jpg,train/Potato leaf late blight/24064_1.jpg,train,Potato leaf late blight,e5f14a70fc7a687a5846749d5499872c7c3320e81aea1358e481f7100b7ba242,455f28f2b68fc6b43f18c783c662ffca5860ed6109a9ab06d5caf1511ef5e433,216600,832,624,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-eeff73e307da9ed1,G12,G12-m1,PlantDoc,test/Corn Gray leaf spot/IMG_42231.jpg,test/Corn Gray leaf spot/IMG_42231.jpg,test,Corn Gray leaf spot,ee3838e2249e671b7b4510b0d3831f30882e2bcbf20c9c8c42ee8f4e1b95fcce,a0747f2b4f42924a64b4d33e7c822dd95b1fffda37fb7164cb1bc4e6ff8a69fa,1577792,3264,2448,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-eeff73e307da9ed1,G12,G12-m2,PlantDoc,train/Corn leaf blight/IMG_42231.jpg,train/Corn leaf blight/IMG_42231.jpg,train,Corn leaf blight,ee3838e2249e671b7b4510b0d3831f30882e2bcbf20c9c8c42ee8f4e1b95fcce,a0747f2b4f42924a64b4d33e7c822dd95b1fffda37fb7164cb1bc4e6ff8a69fa,1577792,3264,2448,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
