dataset_a,split_a,class_a,path_a,dataset_b,split_b,class_b,path_b,distance,kind
PlantDoc,train,Corn leaf blight,train/Corn leaf blight/Figure-2-.jpg,PlantDoc,train,Corn leaf blight,train/Corn leaf blight/Northern-corn-leaf-blight-NM-F2.jpg,0,exact
PlantDoc,train,Corn leaf blight,train/Corn leaf blight/bacterial-corn-1.jpg,PlantDoc,train,Corn leaf blight,train/Corn leaf blight/bacterial-corn-300x300.jpg,0,exact
PlantDoc,train,Corn rust leaf,train/Corn rust leaf/Corn-Common-Rust-300x225.jpg,PlantDoc,train,Corn rust leaf,train/Corn rust leaf/Corn-Common-Rust.jpg,0,exact
PlantDoc,train,Potato leaf early blight,train/Potato leaf early blight/14321627273_58d893c3e2_potato-plant.jpg,PlantDoc,train,Potato leaf late blight,train/Potato leaf late blight/14321627273_58d893c3e2_b.jpg,0,exact
PlantDoc,train,Potato leaf early blight,train/Potato leaf early blight/18028_1.jpg,PlantDoc,train,Potato leaf late blight,train/Potato leaf late blight/24064_1.jpg,0,exact
PlantDoc,train,Potato leaf early blight,train/Potato leaf early blight/45035_1.jpg,PlantDoc,train,Potato leaf late blight,train/Potato leaf late blight/Late+blight+on+potato.jpg,0,exact
PlantDoc,train,Potato leaf late blight,train/Potato leaf late blight/LB_potato_leaf_topside.jpg,PlantDoc,train,Potato leaf late blight,train/Potato leaf late blight/PotatoLateBlight2.jpg,0,exact
PlantDoc,train,Potato leaf late blight,train/Potato leaf late blight/b3a52d4eda0deedc34260c4dee847a5b.jpg,PlantDoc,train,Potato leaf late blight,train/Potato leaf late blight/early_blight.jpg,0,exact
PlantDoc,train,Raspberry leaf,train/Raspberry leaf/579a1aa0c6b3fd0354d1a6b57a40ac42--red-raspberry-medicinal-plants.jpg,PlantDoc,train,Raspberry leaf,train/Raspberry leaf/Raspberry-Suckers1.jpg,0,exact
PlantDoc,train,Squash Powdery mildew leaf,train/Squash Powdery mildew leaf/6c460a55e7e8607e922d98e1416448d4.jpg,PlantDoc,train,Squash Powdery mildew leaf,train/Squash Powdery mildew leaf/Aug+16+2010+051.jpg,0,exact
PlantDoc,train,Apple leaf,train/Apple leaf/4633813-sweet-apple-with-leaf.jpg,PlantDoc,train,Apple leaf,train/Apple leaf/stock-photo-sweet-apple-with-leaf-111143150.jpg,6,near
PlantDoc,train,Apple leaf,train/Apple leaf/depositphotos_55202179-stock-photo-green-apple-with-leaf-and.jpg,PlantDoc,train,Apple leaf,train/Apple leaf/green-apple-leaf-slice-isolated-white-ripe-background-clipping-path-45471482.jpg,6,near
PlantDoc,train,Corn leaf blight,train/Corn leaf blight/28430_rel.jpg,PlantDoc,train,Corn leaf blight,train/Corn leaf blight/28430_web.jpg,2,near
PlantDoc,train,Corn leaf blight,train/Corn leaf blight/Corn-gray-leaf-spot-8-14-15-F1.jpg,PlantDoc,train,Corn leaf blight,train/Corn leaf blight/corn_gray_leaf_spot.jpg,4,near
PlantDoc,train,Corn leaf blight,train/Corn leaf blight/corn-short-backlit-Xanth-lesions-halos-f2-.jpg,PlantDoc,train,Corn leaf blight,train/Corn leaf blight/corn-short-backlit-Xanth-lesions-halos-f2.jpg,6,near
PlantDoc,train,Peach leaf,train/Peach leaf/fresh-peach-fruits-green-leaves-15654533.jpg,PlantDoc,train,Peach leaf,train/Peach leaf/stock-photo-fresh-peach-fruits-with-green-leaves-isolated-on-white-background-59305621.jpg,6,near
PlantDoc,train,Peach leaf,train/Peach leaf/stock-photo-two-peach-leaves-isolated-on-white-311533217.jpg,PlantDoc,train,Peach leaf,train/Peach leaf/two-peach-leaves-isolated-on-white-picture-id519433636.jpg,4,near
PlantDoc,train,Potato leaf early blight,train/Potato leaf early blight/potato-blight-phytophora-infestans-close-up-of-infected-leaf-top-surface-a60hxg.jpg,PlantDoc,train,Potato leaf late blight,train/Potato leaf late blight/potato-blight-phytophora-infestans-close-up-of-infected-leaf-top-surface-A60HXG.jpg,6,near
PlantDoc,train,Soyabean leaf,train/Soyabean leaf/fresh-soy-leaves-white-46020567.jpg,PlantDoc,train,Soyabean leaf,train/Soyabean leaf/stock-photo-fresh-soy-leaves-isolated-on-white-224197243.jpg,2,near
